Metric,Hybrid,Random,Difference (Hybrid - Random)
avg_kl_divergence,0.20830958707988892,9.329061712002709e-05,0.2082162964627689
avg_js_distance,0.05758604844559515,6.7389711361028625e-06,0.05757930947445905
class_ratio_diff,0.09371349488980046,4.464464508324717e-05,0.09366885024471722
pca_variance_diff,0.2431125046396088,0.0012747217561828728,0.24183778288342592
auc_diff,0.017951938890148456,0.00036279662708571525,0.01758914226306274
auc_orig,0.9983811816181606,0.9983811816181605,1.1102230246251565e-16
auc_red,0.9804292427280121,0.9980183849910749,-0.01758914226306274
pr_auc_diff,0.03506539462016056,0.0006782697588547659,0.034387124861305796
pr_auc_orig,0.9965125964531302,0.9965125964531302,0.0
pr_auc_red,0.9614472018329696,0.9958343266942753,-0.034387124861305685
anomaly_auc_diff,0.26921439438858447,0.0001291709254102047,0.26908522346317426
anomaly_auc_orig,0.7257329995052008,0.7257329995052008,0.0
anomaly_auc_red,0.4565186051166163,0.7256038285797906,-0.26908522346317426
